year,geography,geography_type,indicator,value,value_type,demographics,demographic_type,included
2013,Bledsoe,County,Cocaine Death,0,Count,,,No
2013,Bledsoe,County,Fentanyl Death,0,Count,,,No
2013,Bledsoe,County,Heroin Death,0,Count,,,No
2013,Bledsoe,County,Opioid Death,1,Count,,,No
2013,Bledsoe,County,All Opioids,1,Count,,,No
2013,Bledsoe,County,Opioids and Any Stimulant,0,Count,,,No
2013,Bledsoe,County,All Opioids and Benzodiazepines,1,Count,,,No
2013,Bledsoe,County,All Drug Overdose Deaths,1,Count,,,No
2013,Bledsoe,County,Psychostimulants with Abuse Potential (Including Methamphetamine),0,Count,,,No
2013,Bledsoe,County,Stimulant Death,0,Rate,,,No
2013,Bledsoe,County,Drug Overdose Deaths Involving Benzodiazepines,,Rate,,,No
2013,Bledsoe,County,Cocaine Death,0,Rate,,,No
2013,Bledsoe,County,Fentanyl Death,0,Rate,,,No
2013,Bledsoe,County,Heroin Death,0,Rate,,,No
2013,Bledsoe,County,Drug Overdose Deaths Involving Prescription Opioids,,Rate,,,No
2013,Bledsoe,County,Drug Overdose Deaths Involving All Opioids,,Rate,,,No
2013,Bledsoe,County,Opioids and Any Stimulant,0,Rate,,,No
2013,Bledsoe,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,,Rate,,,No
2013,Bledsoe,County,All Drug Overdose Deaths,,Rate,,,No
2013,Bledsoe,County,Psychostimulants with Abuse Potential (Including Methamphetamine),0,Rate,,,No
2013,Blount,County,Stimulant Death,2,Count,,,No
2013,Blount,County,Benzodiazepine Death,2,Count,,,No
2013,Blount,County,Cocaine Death,2,Count,,,No
2013,Blount,County,Fentanyl Death,0,Count,,,No
2013,Blount,County,Heroin Death,0,Count,,,No
2013,Blount,County,Opioid Death,14,Count,,,No
2013,Blount,County,All Opioids,15,Count,,,No
2013,Blount,County,Opioids and Any Stimulant,0,Count,,,No
2013,Blount,County,All Opioids and Benzodiazepines,2,Count,,,No
2013,Blount,County,All Drug Overdose Deaths,23,Count,,,No
2013,Blount,County,Psychostimulants with Abuse Potential (Including Methamphetamine),0,Count,,,No
2013,Blount,County,Drug Overdose Deaths Involving All Stimulants,,Rate,,,No
2013,Blount,County,Drug Overdose Deaths Involving Benzodiazepines,,Rate,,,No
2013,Blount,County,Drug Overdose Deaths Involving Cocaine,,Rate,,,No
2013,Blount,County,Fentanyl Death,0,Rate,,,No
2013,Blount,County,Heroin Death,0,Rate,,,No
2013,Blount,County,Opioid Death,11,Rate,,,No
2013,Blount,County,All Opioids,12,Rate,,,No
2013,Blount,County,Opioids and Any Stimulant,0,Rate,,,No
2013,Blount,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,,Rate,,,No
2013,Blount,County,All Drug Overdose Deaths,17,Rate,,,No
2013,Blount,County,Psychostimulants with Abuse Potential (Including Methamphetamine),0,Rate,,,No
2013,Bradley,County,Stimulant Death,3,Count,,,No
2013,Bradley,County,Benzodiazepine Death,7,Count,,,No
2013,Bradley,County,Cocaine Death,0,Count,,,No
2013,Bradley,County,Fentanyl Death,1,Count,,,No
2013,Bradley,County,Heroin Death,0,Count,,,No
2013,Bradley,County,Opioid Death,9,Count,,,No
2013,Bradley,County,All Opioids,12,Count,,,No
2013,Bradley,County,Opioids and Any Stimulant,2,Count,,,No
2013,Bradley,County,All Opioids and Benzodiazepines,6,Count,,,No
2013,Bradley,County,All Drug Overdose Deaths,20,Count,,,No
2013,Bradley,County,Psychostimulants with Abuse Potential (Including Methamphetamine),3,Count,,,No
2013,Bradley,County,Drug Overdose Deaths Involving All Stimulants,,Rate,,,No
2013,Bradley,County,Drug Overdose Deaths Involving Benzodiazepines,,Rate,,,No
2013,Bradley,County,Cocaine Death,0,Rate,,,No
2013,Bradley,County,Drug Overdose Deaths Involving Fentanyl,,Rate,,,No
2013,Bradley,County,Heroin Death,0,Rate,,,No
2013,Bradley,County,Drug Overdose Deaths Involving Prescription Opioids,,Rate,,,No
2013,Bradley,County,All Opioids,12,Rate,,,No
2013,Bradley,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,,Rate,,,No
2013,Bradley,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,,Rate,,,No
2013,Bradley,County,All Drug Overdose Deaths,20,Rate,,,No
2013,Bradley,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),,Rate,,,No
2013,Campbell,County,Stimulant Death,2,Count,,,No
2013,Campbell,County,Benzodiazepine Death,1,Count,,,No
2013,Campbell,County,Cocaine Death,1,Count,,,No
2013,Campbell,County,Fentanyl Death,0,Count,,,No
2013,Campbell,County,Heroin Death,0,Count,,,No
2013,Campbell,County,Opioid Death,11,Count,,,No
2013,Campbell,County,All Opioids,12,Count,,,No
2013,Campbell,County,Opioids and Any Stimulant,0,Count,,,No
2013,Campbell,County,All Opioids and Benzodiazepines,1,Count,,,No
2013,Campbell,County,All Drug Overdose Deaths,16,Count,,,No
2013,Campbell,County,Psychostimulants with Abuse Potential (Including Methamphetamine),1,Count,,,No
2013,Campbell,County,Drug Overdose Deaths Involving All Stimulants,,Rate,,,No
2013,Campbell,County,Drug Overdose Deaths Involving Benzodiazepines,,Rate,,,No
2013,Campbell,County,Drug Overdose Deaths Involving Cocaine,,Rate,,,No
2013,Campbell,County,Fentanyl Death,0,Rate,,,No
2013,Campbell,County,Heroin Death,0,Rate,,,No
2013,Campbell,County,Opioid Death,28,Rate,,,No
2013,Campbell,County,All Opioids,30,Rate,,,No
2013,Campbell,County,Opioids and Any Stimulant,0,Rate,,,No
2013,Campbell,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,,Rate,,,No
2013,Campbell,County,All Drug Overdose Deaths,40,Rate,,,No
2013,Campbell,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),,Rate,,,No
2013,Cannon,County,Stimulant Death,0,Count,,,No
2013,Cannon,County,Benzodiazepine Death,2,Count,,,No
2013,Cannon,County,Cocaine Death,0,Count,,,No
2013,Cannon,County,Fentanyl Death,0,Count,,,No
2013,Cannon,County,Heroin Death,0,Count,,,No
2013,Cannon,County,Opioid Death,3,Count,,,No
2013,Cannon,County,All Opioids,3,Count,,,No
2013,Cannon,County,Opioids and Any Stimulant,0,Count,,,No
2013,Cannon,County,All Opioids and Benzodiazepines,2,Count,,,No
2013,Cannon,County,All Drug Overdose Deaths,5,Count,,,No
2013,Cannon,County,Psychostimulants with Abuse Potential (Including Methamphetamine),0,Count,,,No
2013,Cannon,County,Stimulant Death,0,Rate,,,No
2013,Cannon,County,Drug Overdose Deaths Involving Benzodiazepines,,Rate,,,No
2013,Cannon,County,Cocaine Death,0,Rate,,,No
2013,Cannon,County,Fentanyl Death,0,Rate,,,No
2013,Cannon,County,Heroin Death,0,Rate,,,No
2013,Cannon,County,Drug Overdose Deaths Involving Prescription Opioids,,Rate,,,No
2013,Cannon,County,Drug Overdose Deaths Involving All Opioids,,Rate,,,No
2013,Cannon,County,Opioids and Any Stimulant,0,Rate,,,No
2013,Cannon,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,,Rate,,,No
2013,Cannon,County,All Drug Overdose Deaths,,Rate,,,No
2013,Cannon,County,Psychostimulants with Abuse Potential (Including Methamphetamine),0,Rate,,,No
2013,Carroll,County,Stimulant Death,2,Count,,,No
2013,Carroll,County,Benzodiazepine Death,1,Count,,,No
2013,Carroll,County,Cocaine Death,2,Count,,,No
2013,Carroll,County,Fentanyl Death,0,Count,,,No
2013,Carroll,County,Heroin Death,1,Count,,,No
2013,Carroll,County,Opioid Death,1,Count,,,No
2013,Carroll,County,All Opioids,2,Count,,,No
2013,Carroll,County,Opioids and Any Stimulant,2,Count,,,No
2013,Carroll,County,All Opioids and Benzodiazepines,1,Count,,,No
2013,Carroll,County,All Drug Overdose Deaths,6,Count,,,No
2013,Carroll,County,Psychostimulants with Abuse Potential (Including Methamphetamine),1,Count,,,No
2013,Carroll,County,Drug Overdose Deaths Involving All Stimulants,,Rate,,,No
2013,Carroll,County,Drug Overdose Deaths Involving Benzodiazepines,,Rate,,,No
2013,Carroll,County,Drug Overdose Deaths Involving Cocaine,,Rate,,,No
2013,Carroll,County,Fentanyl Death,0,Rate,,,No
2013,Carroll,County,Drug Overdose Deaths Involving Heroin,,Rate,,,No
2013,Carroll,County,Drug Overdose Deaths Involving Prescription Opioids,,Rate,,,No
2013,Carroll,County,Drug Overdose Deaths Involving All Opioids,,Rate,,,No
2013,Carroll,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,,Rate,,,No
2013,Carroll,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,,Rate,,,No
2013,Carroll,County,All Drug Overdose Deaths,,Rate,,,No
2013,Carroll,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),,Rate,,,No
2013,Carter,County,Stimulant Death,1,Count,,,No
2013,Carter,County,Benzodiazepine Death,0,Count,,,No
2013,Carter,County,Cocaine Death,1,Count,,,No
2013,Carter,County,Fentanyl Death,0,Count,,,No
2013,Carter,County,Heroin Death,0,Count,,,No
2013,Carter,County,Opioid Death,1,Count,,,No
2013,Carter,County,All Opioids,2,Count,,,No
2013,Carter,County,Opioids and Any Stimulant,0,Count,,,No
2013,Carter,County,All Opioids and Benzodiazepines,0,Count,,,No
2013,Carter,County,All Drug Overdose Deaths,7,Count,,,No
2013,Carter,County,Psychostimulants with Abuse Potential (Including Methamphetamine),0,Count,,,No
2013,Carter,County,Drug Overdose Deaths Involving All Stimulants,,Rate,,,No
2013,Carter,County,Benzodiazepine Death,0,Rate,,,No
2013,Carter,County,Drug Overdose Deaths Involving Cocaine,,Rate,,,No
2013,Carter,County,Fentanyl Death,0,Rate,,,No
2013,Carter,County,Heroin Death,0,Rate,,,No
2013,Carter,County,Drug Overdose Deaths Involving Prescription Opioids,,Rate,,,No
2013,Carter,County,Drug Overdose Deaths Involving All Opioids,,Rate,,,No
2013,Carter,County,Opioids and Any Stimulant,0,Rate,,,No
2013,Carter,County,All Opioids and Benzodiazepines,0,Rate,,,No
2013,Carter,County,All Drug Overdose Deaths,,Rate,,,No
2013,Carter,County,Psychostimulants with Abuse Potential (Including Methamphetamine),0,Rate,,,No
2013,Chattanooga and Hamilton Metro,Region,Stimulant Death,7,Count,,,No
2013,Chattanooga and Hamilton Metro,Region,Benzodiazepine Death,4,Count,,,No
2013,Chattanooga and Hamilton Metro,Region,Cocaine Death,2,Count,,,No
2013,Chattanooga and Hamilton Metro,Region,Fentanyl Death,4,Count,,,No
2013,Chattanooga and Hamilton Metro,Region,Heroin Death,0,Count,,,No
2013,Chattanooga and Hamilton Metro,Region,Opioid Death,31,Count,,,No
2013,Chattanooga and Hamilton Metro,Region,All Opioids,35,Count,,,No
2013,Chattanooga and Hamilton Metro,Region,Opioids and Any Stimulant,1,Count,,,No
2013,Chattanooga and Hamilton Metro,Region,All Opioids and Benzodiazepines,2,Count,,,No
2013,Chattanooga and Hamilton Metro,Region,All Drug Overdose Deaths,53,Count,,,No
2013,Chattanooga and Hamilton Metro,Region,Psychostimulants with Abuse Potential (Including Methamphetamine),5,Count,,,No
2013,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving All Stimulants,,Rate,,,No
2013,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Benzodiazepines,,Rate,,,No
2013,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Cocaine,,Rate,,,No
2013,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Fentanyl,,Rate,,,No
2013,Chattanooga and Hamilton Metro,Region,Heroin Death,0,Rate,,,No
2013,Chattanooga and Hamilton Metro,Region,Opioid Death,9,Rate,,,No
2013,Chattanooga and Hamilton Metro,Region,All Opioids,10,Rate,,,No
2013,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Opioids and Any Stimulant,,Rate,,,No
2013,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,,Rate,,,No
2013,Chattanooga and Hamilton Metro,Region,All Drug Overdose Deaths,15,Rate,,,No
2013,Chattanooga and Hamilton Metro,Region,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),,Rate,,,No
2013,Cheatham,County,Stimulant Death,3,Count,,,No
2013,Cheatham,County,Benzodiazepine Death,7,Count,,,No
2013,Cheatham,County,Cocaine Death,1,Count,,,No
2013,Cheatham,County,Fentanyl Death,1,Count,,,No
2013,Cheatham,County,Heroin Death,0,Count,,,No
2013,Cheatham,County,Opioid Death,9,Count,,,No
2013,Cheatham,County,All Opioids,10,Count,,,No
2013,Cheatham,County,Opioids and Any Stimulant,2,Count,,,No
2013,Cheatham,County,All Opioids and Benzodiazepines,7,Count,,,No
2013,Cheatham,County,All Drug Overdose Deaths,12,Count,,,No
2013,Cheatham,County,Psychostimulants with Abuse Potential (Including Methamphetamine),2,Count,,,No
2013,Cheatham,County,Drug Overdose Deaths Involving All Stimulants,,Rate,,,No
2013,Cheatham,County,Drug Overdose Deaths Involving Benzodiazepines,,Rate,,,No
2013,Cheatham,County,Drug Overdose Deaths Involving Cocaine,,Rate,,,No
2013,Cheatham,County,Drug Overdose Deaths Involving Fentanyl,,Rate,,,No
2013,Cheatham,County,Heroin Death,0,Rate,,,No
2013,Cheatham,County,Drug Overdose Deaths Involving Prescription Opioids,,Rate,,,No
2013,Cheatham,County,All Opioids,26,Rate,,,No
2013,Cheatham,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,,Rate,,,No
2013,Cheatham,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,,Rate,,,No
2013,Cheatham,County,All Drug Overdose Deaths,29,Rate,,,No
2013,Cheatham,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),,Rate,,,No
2013,Chester,County,Stimulant Death,0,Count,,,No
2013,Chester,County,Benzodiazepine Death,0,Count,,,No
2013,Chester,County,Cocaine Death,0,Count,,,No
2013,Chester,County,Fentanyl Death,0,Count,,,No
2013,Chester,County,Heroin Death,0,Count,,,No
2013,Chester,County,Opioid Death,0,Count,,,No
2013,Chester,County,All Opioids,0,Count,,,No
2013,Chester,County,Opioids and Any Stimulant,0,Count,,,No
2013,Chester,County,All Opioids and Benzodiazepines,0,Count,,,No
2013,Chester,County,All Drug Overdose Deaths,0,Count,,,No
2013,Chester,County,Psychostimulants with Abuse Potential (Including Methamphetamine),0,Count,,,No
2013,Chester,County,Stimulant Death,0,Rate,,,No
2013,Chester,County,Benzodiazepine Death,0,Rate,,,No
2013,Chester,County,Cocaine Death,0,Rate,,,No
2013,Chester,County,Fentanyl Death,0,Rate,,,No
2013,Chester,County,Heroin Death,0,Rate,,,No
2013,Chester,County,Opioid Death,0,Rate,,,No
2013,Chester,County,All Opioids,0,Rate,,,No
2013,Chester,County,Opioids and Any Stimulant,0,Rate,,,No
2013,Chester,County,All Opioids and Benzodiazepines,0,Rate,,,No
2013,Chester,County,All Drug Overdose Deaths,0,Rate,,,No
2013,Chester,County,Psychostimulants with Abuse Potential (Including Methamphetamine),0,Rate,,,No
2013,Claiborne,County,Stimulant Death,1,Count,,,No
2013,Claiborne,County,Benzodiazepine Death,1,Count,,,No
2013,Claiborne,County,Cocaine Death,1,Count,,,No
2013,Claiborne,County,Fentanyl Death,0,Count,,,No
2013,Claiborne,County,Heroin Death,0,Count,,,No
2013,Claiborne,County,Opioid Death,7,Count,,,No
2013,Claiborne,County,All Opioids,8,Count,,,No
2013,Claiborne,County,Opioids and Any Stimulant,1,Count,,,No
2013,Claiborne,County,All Opioids and Benzodiazepines,1,Count,,,No
2013,Claiborne,County,All Drug Overdose Deaths,9,Count,,,No
2013,Claiborne,County,Psychostimulants with Abuse Potential (Including Methamphetamine),1,Count,,,No
2013,Claiborne,County,Drug Overdose Deaths Involving All Stimulants,,Rate,,,No
2013,Claiborne,County,Drug Overdose Deaths Involving Benzodiazepines,,Rate,,,No
2013,Claiborne,County,Drug Overdose Deaths Involving Cocaine,,Rate,,,No
2013,Claiborne,County,Fentanyl Death,0,Rate,,,No
2013,Claiborne,County,Heroin Death,0,Rate,,,No
2013,Claiborne,County,Drug Overdose Deaths Involving Prescription Opioids,,Rate,,,No
2013,Claiborne,County,Drug Overdose Deaths Involving All Opioids,,Rate,,,No
2013,Claiborne,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,,Rate,,,No
2013,Claiborne,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,,Rate,,,No
2013,Claiborne,County,All Drug Overdose Deaths,,Rate,,,No
2013,Claiborne,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),,Rate,,,No
2013,Clay,County,Stimulant Death,0,Count,,,No
2013,Clay,County,Benzodiazepine Death,2,Count,,,No
2013,Clay,County,Cocaine Death,0,Count,,,No
2013,Clay,County,Fentanyl Death,0,Count,,,No
2013,Clay,County,Heroin Death,0,Count,,,No
2013,Clay,County,Opioid Death,2,Count,,,No
2013,Clay,County,All Opioids,2,Count,,,No
2013,Clay,County,Opioids and Any Stimulant,0,Count,,,No
2013,Clay,County,All Opioids and Benzodiazepines,2,Count,,,No
2013,Clay,County,All Drug Overdose Deaths,2,Count,,,No
2013,Clay,County,Psychostimulants with Abuse Potential (Including Methamphetamine),0,Count,,,No
2013,Clay,County,Stimulant Death,0,Rate,,,No
2013,Clay,County,Drug Overdose Deaths Involving Benzodiazepines,,Rate,,,No
2013,Clay,County,Cocaine Death,0,Rate,,,No
2013,Clay,County,Fentanyl Death,0,Rate,,,No
2013,Clay,County,Heroin Death,0,Rate,,,No
2013,Clay,County,Drug Overdose Deaths Involving Prescription Opioids,,Rate,,,No
2013,Clay,County,Drug Overdose Deaths Involving All Opioids,,Rate,,,No
2013,Clay,County,Opioids and Any Stimulant,0,Rate,,,No
2013,Clay,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,,Rate,,,No
2013,Clay,County,All Drug Overdose Deaths,,Rate,,,No
2013,Clay,County,Psychostimulants with Abuse Potential (Including Methamphetamine),0,Rate,,,No
2013,Cocke,County,Stimulant Death,1,Count,,,No
2013,Cocke,County,Benzodiazepine Death,1,Count,,,No
2013,Cocke,County,Cocaine Death,0,Count,,,No
2013,Cocke,County,Fentanyl Death,1,Count,,,No
2013,Cocke,County,Heroin Death,0,Count,,,No
2013,Cocke,County,Opioid Death,5,Count,,,No
2013,Cocke,County,All Opioids,6,Count,,,No
2013,Cocke,County,Opioids and Any Stimulant,0,Count,,,No
2013,Cocke,County,All Opioids and Benzodiazepines,1,Count,,,No
2013,Cocke,County,All Drug Overdose Deaths,9,Count,,,No
2013,Cocke,County,Psychostimulants with Abuse Potential (Including Methamphetamine),1,Count,,,No
2013,Cocke,County,Drug Overdose Deaths Involving All Stimulants,,Rate,,,No
2013,Cocke,County,Drug Overdose Deaths Involving Benzodiazepines,,Rate,,,No
2013,Cocke,County,Cocaine Death,0,Rate,,,No
2013,Cocke,County,Drug Overdose Deaths Involving Fentanyl,,Rate,,,No
2013,Cocke,County,Heroin Death,0,Rate,,,No
2013,Cocke,County,Drug Overdose Deaths Involving Prescription Opioids,,Rate,,,No
2013,Cocke,County,Drug Overdose Deaths Involving All Opioids,,Rate,,,No
2013,Cocke,County,Opioids and Any Stimulant,0,Rate,,,No
2013,Cocke,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,,Rate,,,No
2013,Cocke,County,All Drug Overdose Deaths,,Rate,,,No
2013,Cocke,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),,Rate,,,No
2013,Coffee,County,Stimulant Death,4,Count,,,No
2013,Coffee,County,Benzodiazepine Death,5,Count,,,No
2013,Coffee,County,Cocaine Death,3,Count,,,No
2013,Coffee,County,Fentanyl Death,2,Count,,,No
2013,Coffee,County,Heroin Death,0,Count,,,No
2013,Coffee,County,Opioid Death,4,Count,,,No
2013,Coffee,County,All Opioids,5,Count,,,No
2013,Coffee,County,Opioids and Any Stimulant,3,Count,,,No
2013,Coffee,County,All Opioids and Benzodiazepines,4,Count,,,No
2013,Coffee,County,All Drug Overdose Deaths,8,Count,,,No
2013,Coffee,County,Psychostimulants with Abuse Potential (Including Methamphetamine),1,Count,,,No
2013,Coffee,County,Drug Overdose Deaths Involving All Stimulants,,Rate,,,No
2013,Coffee,County,Drug Overdose Deaths Involving Benzodiazepines,,Rate,,,No
2013,Coffee,County,Drug Overdose Deaths Involving Cocaine,,Rate,,,No
2013,Coffee,County,Drug Overdose Deaths Involving Fentanyl,,Rate,,,No
2013,Coffee,County,Heroin Death,0,Rate,,,No
2013,Coffee,County,Drug Overdose Deaths Involving Prescription Opioids,,Rate,,,No
2013,Coffee,County,Drug Overdose Deaths Involving All Opioids,,Rate,,,No
2013,Coffee,County,Drug Overdose Deaths Involving Opioids and Any Stimulant,,Rate,,,No
2013,Coffee,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,,Rate,,,No
2013,Coffee,County,All Drug Overdose Deaths,,Rate,,,No
2013,Coffee,County,Drug Overdose Deaths Involving Psychostimulants with Abuse Potential (Including Methamphetamine),,Rate,,,No
2013,Crockett,County,Stimulant Death,1,Count,,,No
2013,Crockett,County,Benzodiazepine Death,1,Count,,,No
2013,Crockett,County,Cocaine Death,1,Count,,,No
2013,Crockett,County,Fentanyl Death,0,Count,,,No
2013,Crockett,County,Heroin Death,0,Count,,,No
2013,Crockett,County,Opioid Death,1,Count,,,No
2013,Crockett,County,All Opioids,1,Count,,,No
2013,Crockett,County,Opioids and Any Stimulant,0,Count,,,No
2013,Crockett,County,All Opioids and Benzodiazepines,1,Count,,,No
2013,Crockett,County,All Drug Overdose Deaths,3,Count,,,No
2013,Crockett,County,Psychostimulants with Abuse Potential (Including Methamphetamine),0,Count,,,No
2013,Crockett,County,Drug Overdose Deaths Involving All Stimulants,,Rate,,,No
2013,Crockett,County,Drug Overdose Deaths Involving Benzodiazepines,,Rate,,,No
2013,Crockett,County,Drug Overdose Deaths Involving Cocaine,,Rate,,,No
2013,Crockett,County,Fentanyl Death,0,Rate,,,No
2013,Crockett,County,Heroin Death,0,Rate,,,No
2013,Crockett,County,Drug Overdose Deaths Involving Prescription Opioids,,Rate,,,No
2013,Crockett,County,Drug Overdose Deaths Involving All Opioids,,Rate,,,No
2013,Crockett,County,Opioids and Any Stimulant,0,Rate,,,No
2013,Crockett,County,Drug Overdose Deaths Involving All Opioids and Benzodiazepines,,Rate,,,No
2013,Crockett,County,All Drug Overdose Deaths,,Rate,,,No
2013,Crockett,County,Psychostimulants with Abuse Potential (Including Methamphetamine),0,Rate,,,No
2013,Cumberland,County,Stimulant Death,1,Count,,,No
2013,Cumberland,County,Benzodiazepine Death,3,Count,,,No
2013,Cumberland,County,Cocaine Death,0,Count,,,No
2013,Cumberland,County,Fentanyl Death,0,Count,,,No
2013,Cumberland,County,Heroin Death,0,Count,,,No
2013,Cumberland,County,Opioid Death,2,Count,,,No
2013,Cumberland,County,All Opioids,4,Count,,,No
2013,Cumberland,County,Opioids and Any Stimulant,1,Count,,,No
2013,Cumberland,County,All Opioids and Benzodiazepines,3,Count,,,No
