year,geography,geography_type,indicator,value,value_type
2013,Bledsoe,County,All Benzodiazepines,776,Rate
2013,Bledsoe,County,Alprazolam,371,Rate
2013,Bledsoe,County,Clonazepam,101,Rate
2013,Bledsoe,County,Diazepam,146,Rate
2013,Bledsoe,County,Lorazepam,110,Rate
2013,Bledsoe,County,All Opioids for Pain,1587,Rate
2013,Bledsoe,County,Hydrocodone,893,Rate
2013,Bledsoe,County,Oxycodone,323,Rate
2013,Bledsoe,County,Tramadol,120,Rate
2013,Blount,County,All Benzodiazepines,77266,Count
2013,Blount,County,Alprazolam,30773,Count
2013,Blount,County,Clonazepam,16282,Count
2013,Blount,County,Diazepam,11224,Count
2013,Blount,County,Lorazepam,13172,Count
2013,Blount,County,All Opioids for Pain,171502,Count
2013,Blount,County,Hydrocodone,77978,Count
2013,Blount,County,Oxycodone,44317,Count
2013,Blount,County,Tramadol,17217,Count
2013,Blount,County,All Benzodiazepines,14657,Patients
2013,Blount,County,Alprazolam,5982,Patients
2013,Blount,County,Clonazepam,2851,Patients
2013,Blount,County,Diazepam,2978,Patients
2013,Blount,County,Lorazepam,3338,Patients
2013,Blount,County,All Opioids for Pain,38003,Patients
2013,Blount,County,Hydrocodone,26310,Patients
2013,Blount,County,Oxycodone,11415,Patients
2013,Blount,County,Tramadol,6209,Patients
2013,Blount,County,All Benzodiazepines,618,Rate
2013,Blount,County,Alprazolam,246,Rate
2013,Blount,County,Clonazepam,130,Rate
2013,Blount,County,Diazepam,90,Rate
2013,Blount,County,Lorazepam,105,Rate
2013,Blount,County,All Opioids for Pain,1371,Rate
2013,Blount,County,Hydrocodone,623,Rate
2013,Blount,County,Oxycodone,354,Rate
2013,Blount,County,Tramadol,138,Rate
2013,Bradley,County,All Benzodiazepines,75123,Count
2013,Bradley,County,Alprazolam,39954,Count
2013,Bradley,County,Clonazepam,11098,Count
2013,Bradley,County,Diazepam,7996,Count
2013,Bradley,County,Lorazepam,11349,Count
2013,Bradley,County,All Opioids for Pain,138307,Count
2013,Bradley,County,Hydrocodone,79119,Count
2013,Bradley,County,Oxycodone,24897,Count
2013,Bradley,County,Tramadol,15079,Count
2013,Bradley,County,All Benzodiazepines,13077,Patients
2013,Bradley,County,Alprazolam,6458,Patients
2013,Bradley,County,Clonazepam,2104,Patients
2013,Bradley,County,Diazepam,2327,Patients
2013,Bradley,County,Lorazepam,2757,Patients
2013,Bradley,County,All Opioids for Pain,30635,Patients
2013,Bradley,County,Hydrocodone,22380,Patients
2013,Bradley,County,Oxycodone,7101,Patients
2013,Bradley,County,Tramadol,6119,Patients
2013,Bradley,County,All Benzodiazepines,738,Rate
2013,Bradley,County,Alprazolam,392,Rate
2013,Bradley,County,Clonazepam,109,Rate
2013,Bradley,County,Diazepam,79,Rate
2013,Bradley,County,Lorazepam,111,Rate
2013,Bradley,County,All Opioids for Pain,1358,Rate
2013,Bradley,County,Hydrocodone,777,Rate
2013,Bradley,County,Oxycodone,244,Rate
2013,Bradley,County,Tramadol,148,Rate
2013,Campbell,County,All Benzodiazepines,38729,Count
2013,Campbell,County,Alprazolam,14944,Count
2013,Campbell,County,Clonazepam,7524,Count
2013,Campbell,County,Diazepam,5313,Count
2013,Campbell,County,Lorazepam,9268,Count
2013,Campbell,County,All Opioids for Pain,83004,Count
2013,Campbell,County,Hydrocodone,34550,Count
2013,Campbell,County,Oxycodone,27025,Count
2013,Campbell,County,Tramadol,5134,Count
2013,Campbell,County,All Benzodiazepines,6308,Patients
2013,Campbell,County,Alprazolam,2457,Patients
2013,Campbell,County,Clonazepam,1252,Patients
2013,Campbell,County,Diazepam,1160,Patients
2013,Campbell,County,Lorazepam,1836,Patients
2013,Campbell,County,All Opioids for Pain,13905,Patients
2013,Campbell,County,Hydrocodone,9375,Patients
2013,Campbell,County,Oxycodone,4931,Patients
2013,Campbell,County,Tramadol,1919,Patients
2013,Campbell,County,All Benzodiazepines,962,Rate
2013,Campbell,County,Alprazolam,371,Rate
2013,Campbell,County,Clonazepam,187,Rate
2013,Campbell,County,Diazepam,132,Rate
2013,Campbell,County,Lorazepam,230,Rate
2013,Campbell,County,All Opioids for Pain,2063,Rate
2013,Campbell,County,Hydrocodone,859,Rate
2013,Campbell,County,Oxycodone,672,Rate
2013,Campbell,County,Tramadol,128,Rate
2013,Cannon,County,All Benzodiazepines,12373,Count
2013,Cannon,County,Alprazolam,6417,Count
2013,Cannon,County,Clonazepam,1488,Count
2013,Cannon,County,Diazepam,1949,Count
2013,Cannon,County,Lorazepam,1621,Count
2013,Cannon,County,All Opioids for Pain,27733,Count
2013,Cannon,County,Hydrocodone,14685,Count
2013,Cannon,County,Oxycodone,5922,Count
2013,Cannon,County,Tramadol,2106,Count
2013,Cannon,County,All Benzodiazepines,2157,Patients
2013,Cannon,County,Alprazolam,1062,Patients
2013,Cannon,County,Clonazepam,284,Patients
2013,Cannon,County,Diazepam,484,Patients
2013,Cannon,County,Lorazepam,422,Patients
2013,Cannon,County,All Opioids for Pain,5116,Patients
2013,Cannon,County,Hydrocodone,3663,Patients
2013,Cannon,County,Oxycodone,1583,Patients
2013,Cannon,County,Tramadol,769,Patients
2013,Cannon,County,All Benzodiazepines,898,Rate
2013,Cannon,County,Alprazolam,466,Rate
2013,Cannon,County,Clonazepam,108,Rate
2013,Cannon,County,Diazepam,141,Rate
2013,Cannon,County,Lorazepam,118,Rate
2013,Cannon,County,All Opioids for Pain,2013,Rate
2013,Cannon,County,Hydrocodone,1066,Rate
2013,Cannon,County,Oxycodone,430,Rate
2013,Cannon,County,Tramadol,153,Rate
2013,Carroll,County,All Benzodiazepines,30535,Count
2013,Carroll,County,Alprazolam,16028,Count
2013,Carroll,County,Clonazepam,4261,Count
2013,Carroll,County,Diazepam,3572,Count
2013,Carroll,County,Lorazepam,5052,Count
2013,Carroll,County,All Opioids for Pain,54175,Count
2013,Carroll,County,Hydrocodone,33331,Count
2013,Carroll,County,Oxycodone,7509,Count
2013,Carroll,County,Tramadol,5124,Count
2013,Carroll,County,All Benzodiazepines,5156,Patients
2013,Carroll,County,Alprazolam,2752,Patients
2013,Carroll,County,Clonazepam,816,Patients
2013,Carroll,County,Diazepam,905,Patients
2013,Carroll,County,Lorazepam,980,Patients
2013,Carroll,County,All Opioids for Pain,10835,Patients
2013,Carroll,County,Hydrocodone,8026,Patients
2013,Carroll,County,Oxycodone,2210,Patients
2013,Carroll,County,Tramadol,1890,Patients
2013,Carroll,County,All Benzodiazepines,1071,Rate
2013,Carroll,County,Alprazolam,562,Rate
2013,Carroll,County,Clonazepam,149,Rate
2013,Carroll,County,Diazepam,125,Rate
2013,Carroll,County,Lorazepam,177,Rate
2013,Carroll,County,All Opioids for Pain,1900,Rate
2013,Carroll,County,Hydrocodone,1169,Rate
2013,Carroll,County,Oxycodone,263,Rate
2013,Carroll,County,Tramadol,180,Rate
2013,Carter,County,All Benzodiazepines,57393,Count
2013,Carter,County,Alprazolam,27037,Count
2013,Carter,County,Clonazepam,12070,Count
2013,Carter,County,Diazepam,6125,Count
2013,Carter,County,Lorazepam,9287,Count
2013,Carter,County,All Opioids for Pain,87588,Count
2013,Carter,County,Hydrocodone,43697,Count
2013,Carter,County,Oxycodone,19511,Count
2013,Carter,County,Tramadol,12887,Count
2013,Carter,County,All Benzodiazepines,8644,Patients
2013,Carter,County,Alprazolam,4197,Patients
2013,Carter,County,Clonazepam,1638,Patients
2013,Carter,County,Diazepam,1373,Patients
2013,Carter,County,Lorazepam,1772,Patients
2013,Carter,County,All Opioids for Pain,17542,Patients
2013,Carter,County,Hydrocodone,11696,Patients
2013,Carter,County,Oxycodone,5452,Patients
2013,Carter,County,Tramadol,3755,Patients
2013,Carter,County,All Benzodiazepines,1001,Rate
2013,Carter,County,Alprazolam,472,Rate
2013,Carter,County,Clonazepam,211,Rate
2013,Carter,County,Diazepam,107,Rate
2013,Carter,County,Lorazepam,162,Rate
2013,Carter,County,All Opioids for Pain,1528,Rate
2013,Carter,County,Hydrocodone,762,Rate
2013,Carter,County,Oxycodone,340,Rate
2013,Carter,County,Tramadol,225,Rate
2013,Chattanooga and Hamilton Metro,Region,All Benzodiazepines,198774,Count
2013,Chattanooga and Hamilton Metro,Region,Alprazolam,71155,Count
2013,Chattanooga and Hamilton Metro,Region,Clonazepam,46509,Count
2013,Chattanooga and Hamilton Metro,Region,Diazepam,23252,Count
2013,Chattanooga and Hamilton Metro,Region,Lorazepam,40685,Count
2013,Chattanooga and Hamilton Metro,Region,All Opioids for Pain,419768,Count
2013,Chattanooga and Hamilton Metro,Region,Hydrocodone,211682,Count
2013,Chattanooga and Hamilton Metro,Region,Oxycodone,91419,Count
2013,Chattanooga and Hamilton Metro,Region,Tramadol,47595,Count
2013,Chattanooga and Hamilton Metro,Region,All Benzodiazepines,38765,Patients
2013,Chattanooga and Hamilton Metro,Region,Alprazolam,13348,Patients
2013,Chattanooga and Hamilton Metro,Region,Clonazepam,8885,Patients
2013,Chattanooga and Hamilton Metro,Region,Diazepam,7686,Patients
2013,Chattanooga and Hamilton Metro,Region,Lorazepam,10454,Patients
2013,Chattanooga and Hamilton Metro,Region,All Opioids for Pain,100014,Patients
2013,Chattanooga and Hamilton Metro,Region,Hydrocodone,67174,Patients
2013,Chattanooga and Hamilton Metro,Region,Oxycodone,29704,Patients
2013,Chattanooga and Hamilton Metro,Region,Tramadol,20681,Patients
2013,Chattanooga and Hamilton Metro,Region,All Benzodiazepines,570,Rate
2013,Chattanooga and Hamilton Metro,Region,Alprazolam,204,Rate
2013,Chattanooga and Hamilton Metro,Region,Clonazepam,133,Rate
2013,Chattanooga and Hamilton Metro,Region,Diazepam,67,Rate
2013,Chattanooga and Hamilton Metro,Region,Lorazepam,117,Rate
2013,Chattanooga and Hamilton Metro,Region,All Opioids for Pain,1204,Rate
2013,Chattanooga and Hamilton Metro,Region,Hydrocodone,607,Rate
2013,Chattanooga and Hamilton Metro,Region,Oxycodone,262,Rate
2013,Chattanooga and Hamilton Metro,Region,Tramadol,137,Rate
2013,Cheatham,County,All Benzodiazepines,29740,Count
2013,Cheatham,County,Alprazolam,13624,Count
2013,Cheatham,County,Clonazepam,6815,Count
2013,Cheatham,County,Diazepam,4973,Count
2013,Cheatham,County,Lorazepam,2899,Count
2013,Cheatham,County,All Opioids for Pain,66139,Count
2013,Cheatham,County,Hydrocodone,32109,Count
2013,Cheatham,County,Oxycodone,16709,Count
2013,Cheatham,County,Tramadol,5643,Count
2013,Cheatham,County,All Benzodiazepines,5627,Patients
2013,Cheatham,County,Alprazolam,2577,Patients
2013,Cheatham,County,Clonazepam,1359,Patients
2013,Cheatham,County,Diazepam,1282,Patients
2013,Cheatham,County,Lorazepam,820,Patients
2013,Cheatham,County,All Opioids for Pain,13658,Patients
2013,Cheatham,County,Hydrocodone,9586,Patients
2013,Cheatham,County,Oxycodone,4312,Patients
2013,Cheatham,County,Tramadol,2258,Patients
2013,Cheatham,County,All Benzodiazepines,753,Rate
2013,Cheatham,County,Alprazolam,345,Rate
2013,Cheatham,County,Clonazepam,173,Rate
2013,Cheatham,County,Diazepam,126,Rate
2013,Cheatham,County,Lorazepam,73,Rate
2013,Cheatham,County,All Opioids for Pain,1675,Rate
2013,Cheatham,County,Hydrocodone,813,Rate
2013,Cheatham,County,Oxycodone,423,Rate
2013,Cheatham,County,Tramadol,143,Rate
2013,Chester,County,All Benzodiazepines,14082,Count
2013,Chester,County,Alprazolam,9090,Count
2013,Chester,County,Clonazepam,2289,Count
2013,Chester,County,Diazepam,936,Count
2013,Chester,County,Lorazepam,1201,Count
2013,Chester,County,All Opioids for Pain,25757,Count
2013,Chester,County,Hydrocodone,14883,Count
2013,Chester,County,Oxycodone,3951,Count
2013,Chester,County,Tramadol,2935,Count
2013,Chester,County,All Benzodiazepines,2652,Patients
2013,Chester,County,Alprazolam,1740,Patients
2013,Chester,County,Clonazepam,479,Patients
2013,Chester,County,Diazepam,291,Patients
2013,Chester,County,Lorazepam,299,Patients
2013,Chester,County,All Opioids for Pain,5809,Patients
2013,Chester,County,Hydrocodone,4218,Patients
2013,Chester,County,Oxycodone,1329,Patients
2013,Chester,County,Tramadol,1078,Patients
2013,Chester,County,All Benzodiazepines,813,Rate
2013,Chester,County,Alprazolam,525,Rate
2013,Chester,County,Clonazepam,132,Rate
2013,Chester,County,Diazepam,54,Rate
2013,Chester,County,Lorazepam,69,Rate
2013,Chester,County,All Opioids for Pain,1487,Rate
2013,Chester,County,Hydrocodone,859,Rate
2013,Chester,County,Oxycodone,228,Rate
2013,Chester,County,Tramadol,169,Rate
2013,Claiborne,County,All Benzodiazepines,36002,Count
2013,Claiborne,County,Alprazolam,17848,Count
2013,Claiborne,County,Clonazepam,6308,Count
2013,Claiborne,County,Diazepam,6077,Count
2013,Claiborne,County,Lorazepam,4551,Count
2013,Claiborne,County,All Opioids for Pain,69260,Count
2013,Claiborne,County,Hydrocodone,36057,Count
2013,Claiborne,County,Oxycodone,14621,Count
2013,Claiborne,County,Tramadol,6434,Count
2013,Claiborne,County,All Benzodiazepines,5275,Patients
2013,Claiborne,County,Alprazolam,2552,Patients
2013,Claiborne,County,Clonazepam,1006,Patients
2013,Claiborne,County,Diazepam,1125,Patients
2013,Claiborne,County,Lorazepam,865,Patients
2013,Claiborne,County,All Opioids for Pain,10500,Patients
2013,Claiborne,County,Hydrocodone,7672,Patients
2013,Claiborne,County,Oxycodone,2554,Patients
2013,Claiborne,County,Tramadol,1783,Patients
2013,Claiborne,County,All Benzodiazepines,1141,Rate
2013,Claiborne,County,Alprazolam,566,Rate
2013,Claiborne,County,Clonazepam,200,Rate
2013,Claiborne,County,Diazepam,193,Rate
2013,Claiborne,County,Lorazepam,144,Rate
2013,Claiborne,County,All Opioids for Pain,2195,Rate
2013,Claiborne,County,Hydrocodone,1142,Rate
2013,Claiborne,County,Oxycodone,463,Rate
2013,Claiborne,County,Tramadol,204,Rate
2013,Clay,County,All Benzodiazepines,7107,Count
2013,Clay,County,Alprazolam,3102,Count
2013,Clay,County,Clonazepam,1204,Count
2013,Clay,County,Diazepam,1072,Count
2013,Clay,County,Lorazepam,1235,Count
2013,Clay,County,All Opioids for Pain,14843,Count
2013,Clay,County,Hydrocodone,6850,Count
2013,Clay,County,Oxycodone,4845,Count
2013,Clay,County,Tramadol,858,Count
2013,Clay,County,All Benzodiazepines,1107,Patients
2013,Clay,County,Alprazolam,456,Patients
2013,Clay,County,Clonazepam,236,Patients
2013,Clay,County,Diazepam,218,Patients
2013,Clay,County,Lorazepam,210,Patients
2013,Clay,County,All Opioids for Pain,2537,Patients
2013,Clay,County,Hydrocodone,1706,Patients
2013,Clay,County,Oxycodone,888,Patients
2013,Clay,County,Tramadol,283,Patients
2013,Clay,County,All Benzodiazepines,914,Rate
2013,Clay,County,Alprazolam,399,Rate
2013,Clay,County,Clonazepam,155,Rate
2013,Clay,County,Diazepam,138,Rate
2013,Clay,County,Lorazepam,159,Rate
2013,Clay,County,All Opioids for Pain,1909,Rate
2013,Clay,County,Hydrocodone,881,Rate
2013,Clay,County,Oxycodone,623,Rate
2013,Clay,County,Tramadol,110,Rate
2013,Cocke,County,All Benzodiazepines,34475,Count
2013,Cocke,County,Alprazolam,14720,Count
2013,Cocke,County,Clonazepam,5770,Count
2013,Cocke,County,Diazepam,6272,Count
2013,Cocke,County,Lorazepam,5925,Count
2013,Cocke,County,All Opioids for Pain,77133,Count
2013,Cocke,County,Hydrocodone,39951,Count
2013,Cocke,County,Oxycodone,18369,Count
2013,Cocke,County,Tramadol,6238,Count
2013,Cocke,County,All Benzodiazepines,5134,Patients
2013,Cocke,County,Alprazolam,2228,Patients
2013,Cocke,County,Clonazepam,855,Patients
2013,Cocke,County,Diazepam,1238,Patients
2013,Cocke,County,Lorazepam,1054,Patients
2013,Cocke,County,All Opioids for Pain,13422,Patients
2013,Cocke,County,Hydrocodone,10036,Patients
2013,Cocke,County,Oxycodone,3699,Patients
2013,Cocke,County,Tramadol,2183,Patients
2013,Cocke,County,All Benzodiazepines,972,Rate
2013,Cocke,County,Alprazolam,415,Rate
2013,Cocke,County,Clonazepam,163,Rate
2013,Cocke,County,Diazepam,177,Rate
2013,Cocke,County,Lorazepam,167,Rate
2013,Cocke,County,All Opioids for Pain,2174,Rate
2013,Cocke,County,Hydrocodone,1126,Rate
2013,Cocke,County,Oxycodone,518,Rate
2013,Cocke,County,Tramadol,176,Rate
2013,Coffee,County,All Benzodiazepines,44784,Count
2013,Coffee,County,Alprazolam,23835,Count
2013,Coffee,County,Clonazepam,4829,Count
2013,Coffee,County,Diazepam,6240,Count
2013,Coffee,County,Lorazepam,6384,Count
2013,Coffee,County,All Opioids for Pain,97744,Count
2013,Coffee,County,Hydrocodone,54075,Count
2013,Coffee,County,Oxycodone,20287,Count
2013,Coffee,County,Tramadol,7624,Count
2013,Coffee,County,All Benzodiazepines,7960,Patients
2013,Coffee,County,Alprazolam,4208,Patients
2013,Coffee,County,Clonazepam,945,Patients
2013,Coffee,County,Diazepam,1574,Patients
2013,Coffee,County,Lorazepam,1569,Patients
2013,Coffee,County,All Opioids for Pain,19355,Patients
2013,Coffee,County,Hydrocodone,14330,Patients
2013,Coffee,County,Oxycodone,5511,Patients
2013,Coffee,County,Tramadol,2921,Patients
2013,Coffee,County,All Benzodiazepines,839,Rate
2013,Coffee,County,Alprazolam,447,Rate
2013,Coffee,County,Clonazepam,91,Rate
2013,Coffee,County,Diazepam,117,Rate
2013,Coffee,County,Lorazepam,120,Rate
2013,Coffee,County,All Opioids for Pain,1832,Rate
2013,Coffee,County,Hydrocodone,1013,Rate
2013,Coffee,County,Oxycodone,380,Rate
2013,Coffee,County,Tramadol,143,Rate
2013,Crockett,County,All Benzodiazepines,13626,Count
2013,Crockett,County,Alprazolam,7399,Count
2013,Crockett,County,Clonazepam,1283,Count
2013,Crockett,County,Diazepam,1071,Count
2013,Crockett,County,Lorazepam,2552,Count
2013,Crockett,County,All Opioids for Pain,19642,Count
2013,Crockett,County,Hydrocodone,12043,Count
2013,Crockett,County,Oxycodone,2352,Count
2013,Crockett,County,Tramadol,3042,Count
2013,Crockett,County,All Benzodiazepines,2333,Patients
2013,Crockett,County,Alprazolam,1377,Patients
2013,Crockett,County,Clonazepam,263,Patients
2013,Crockett,County,Diazepam,266,Patients
2013,Crockett,County,Lorazepam,427,Patients
2013,Crockett,County,All Opioids for Pain,4998,Patients
2013,Crockett,County,Hydrocodone,3663,Patients
2013,Crockett,County,Oxycodone,965,Patients
2013,Crockett,County,Tramadol,1109,Patients
2013,Crockett,County,All Benzodiazepines,934,Rate
2013,Crockett,County,Alprazolam,507,Rate
2013,Crockett,County,Clonazepam,88,Rate
2013,Crockett,County,Diazepam,73,Rate
2013,Crockett,County,Lorazepam,175,Rate
2013,Crockett,County,All Opioids for Pain,1346,Rate
2013,Crockett,County,Hydrocodone,825,Rate
2013,Crockett,County,Oxycodone,161,Rate
2013,Crockett,County,Tramadol,208,Rate
2013,Cumberland,County,All Benzodiazepines,40911,Count
2013,Cumberland,County,Alprazolam,21490,Count
2013,Cumberland,County,Clonazepam,5629,Count
2013,Cumberland,County,Diazepam,4967,Count
2013,Cumberland,County,Lorazepam,5623,Count
2013,Cumberland,County,All Opioids for Pain,94799,Count
2013,Cumberland,County,Hydrocodone,39938,Count
2013,Cumberland,County,Oxycodone,29108,Count
2013,Cumberland,County,Tramadol,8407,Count
2013,Cumberland,County,All Benzodiazepines,7325,Patients
2013,Cumberland,County,Alprazolam,3769,Patients
2013,Cumberland,County,Clonazepam,1098,Patients
2013,Cumberland,County,Diazepam,1355,Patients
2013,Cumberland,County,Lorazepam,1299,Patients
2013,Cumberland,County,All Opioids for Pain,18752,Patients
2013,Cumberland,County,Hydrocodone,12278,Patients
2013,Cumberland,County,Oxycodone,6183,Patients
2013,Cumberland,County,Tramadol,3055,Patients
2013,Cumberland,County,All Benzodiazepines,712,Rate
2013,Cumberland,County,Alprazolam,374,Rate
2013,Cumberland,County,Clonazepam,98,Rate
2013,Cumberland,County,Diazepam,86,Rate
2013,Cumberland,County,Lorazepam,98,Rate
2013,Cumberland,County,All Opioids for Pain,1650,Rate
2013,Cumberland,County,Hydrocodone,695,Rate
2013,Cumberland,County,Oxycodone,507,Rate
2013,Cumberland,County,Tramadol,146,Rate
2013,Davidson,County,All Benzodiazepines,271388,Count
2013,Davidson,County,Alprazolam,113102,Count
2013,Davidson,County,Clonazepam,56723,Count
2013,Davidson,County,Diazepam,40656,Count
2013,Davidson,County,Lorazepam,39083,Count
2013,Davidson,County,All Opioids for Pain,619093,Count
2013,Davidson,County,Hydrocodone,332166,Count
2013,Davidson,County,Oxycodone,131196,Count
2013,Davidson,County,Tramadol,64894,Count
2013,Davidson,County,All Benzodiazepines,58161,Patients
2013,Davidson,County,Alprazolam,24210,Patients
2013,Davidson,County,Clonazepam,11548,Patients
2013,Davidson,County,Diazepam,13445,Patients
2013,Davidson,County,Lorazepam,11006,Patients
2013,Davidson,County,All Opioids for Pain,165561,Patients
2013,Davidson,County,Hydrocodone,115357,Patients
2013,Davidson,County,Oxycodone,47544,Patients
2013,Davidson,County,Tramadol,28958,Patients
2013,Davidson,County,All Benzodiazepines,412,Rate
2013,Davidson,County,Alprazolam,172,Rate
2013,Davidson,County,Clonazepam,86,Rate
2013,Davidson,County,Diazepam,62,Rate
2013,Davidson,County,Lorazepam,59,Rate
2013,Davidson,County,All Opioids for Pain,940,Rate
2013,Davidson,County,Hydrocodone,504,Rate
2013,Davidson,County,Oxycodone,199,Rate
2013,Davidson,County,Tramadol,99,Rate
2013,Decatur,County,All Benzodiazepines,14861,Count
2013,Decatur,County,Alprazolam,9017,Count
2013,Decatur,County,Clonazepam,1855,Count
2013,Decatur,County,Diazepam,1855,Count
2013,Decatur,County,Lorazepam,1487,Count
2013,Decatur,County,All Opioids for Pain,26125,Count
2013,Decatur,County,Hydrocodone,15307,Count
2013,Decatur,County,Oxycodone,5782,Count
2013,Decatur,County,Tramadol,2062,Count
2013,Decatur,County,All Benzodiazepines,2291,Patients
2013,Decatur,County,Alprazolam,1470,Patients
2013,Decatur,County,Clonazepam,321,Patients
2013,Decatur,County,Diazepam,389,Patients
2013,Decatur,County,Lorazepam,301,Patients
2013,Decatur,County,All Opioids for Pain,4503,Patients
2013,Decatur,County,Hydrocodone,3301,Patients
2013,Decatur,County,Oxycodone,1111,Patients
2013,Decatur,County,Tramadol,792,Patients
2013,Decatur,County,All Benzodiazepines,1274,Rate
2013,Decatur,County,Alprazolam,773,Rate
2013,Decatur,County,Clonazepam,159,Rate
2013,Decatur,County,Diazepam,159,Rate
2013,Decatur,County,Lorazepam,128,Rate
2013,Decatur,County,All Opioids for Pain,2240,Rate
2013,Decatur,County,Hydrocodone,1313,Rate
2013,Decatur,County,Oxycodone,496,Rate
2013,Decatur,County,Tramadol,177,Rate
2013,DeKalb,County,All Benzodiazepines,17993,Count
2013,DeKalb,County,Alprazolam,7973,Count
2013,DeKalb,County,Clonazepam,2211,Count
2013,DeKalb,County,Diazepam,3151,Count
